country.ipbes,ISO3,ipbes.region,ipbes.sub.region
Afghanistan,AFG,Asia-Pacific,South Asia
Albania,ALB,Europe-Central Asia,Central and Western Europe
Algeria,DZA,Africa,North Africa
American Samoa,ASM,Asia-Pacific,Oceania
Andorra,AND,Europe-Central Asia,Central and Western Europe
Angola,AGO,Africa,Southern Africa
Antigua and Barbuda,ATG,Americas,Caribbean
Argentina,ARG,Americas,South America
Armenia,ARM,Europe-Central Asia,Eastern Europe
Australia,AUS,Asia-Pacific,Oceania
Austria,AUT,Europe-Central Asia,Central and Western Europe
Azerbaijan,AZE,Europe-Central Asia,Eastern Europe
Bahamas,BHS,Americas,Caribbean
Bahrain,BHR,Asia-Pacific,Western Asia
Bangladesh,BGD,Asia-Pacific,South Asia
Barbados,BRB,Americas,Caribbean
Belarus,BLR,Europe-Central Asia,Eastern Europe
Belgium,BEL,Europe-Central Asia,Central and Western Europe
Belize,BLZ,Americas,Mesoamerica
Benin,BEN,Africa,West Africa
Bhutan,BTN,Asia-Pacific,South Asia
Bolivia (Plurinational State of),BOL,Americas,South America
Bosnia and Herzegovina,BIH,Europe-Central Asia,Central and Western Europe
Botswana,BWA,Africa,Southern Africa
Brazil,BRA,Americas,South America
Brunei Darussalam,BRN,Asia-Pacific,South-East Asia
Bulgaria,BGR,Europe-Central Asia,Central and Western Europe
Burkina Faso,BFA,Africa,West Africa
Burundi,BDI,Africa,Central Africa
Cambodia,KHM,Asia-Pacific,South-East Asia
Cameroon,CMR,Africa,Central Africa
Canada,CAN,Americas,North America
Cape Verde,CPV,Africa,West Africa
Central African Republic,CAF,Africa,Central Africa
Chad,TCD,Africa,Central Africa
Chile,CHL,Americas,South America
China,CHN,Asia-Pacific,North-East Asia
Colombia,COL,Americas,South America
Comoros,COM,Africa,East Africa and adjacent islands
Congo,COG,Africa,Central Africa
Cook Islands,COK,Asia-Pacific,Oceania
Costa Rica,CRI,Americas,Mesoamerica
Cote d’Ivoire,CIV,Africa,West Africa
Croatia,HRV,Europe-Central Asia,Central and Western Europe
Cuba,CUB,Americas,Caribbean
Cyprus,CYP,Europe-Central Asia,Central and Western Europe
Czech Republic,CZE,Europe-Central Asia,Central and Western Europe
Democratic People’s Republic of Korea,PRK,Asia-Pacific,North-East Asia
Democratic Republic of the Congo,COD,Africa,Central Africa
Denmark,DNK,Europe-Central Asia,Central and Western Europe
Djibouti,DJI,Africa,East Africa and adjacent islands
Dominica,DMA,Americas,Caribbean
Dominican Republic,DOM,Americas,Caribbean
Ecuador,ECU,Americas,South America
Egypt,EGY,Africa,North Africa
El Salvador,SLV,Americas,Mesoamerica
Equatorial Guinea,GNQ,Africa,Central Africa
Eritrea,ERI,Africa,East Africa and adjacent islands
Estonia,EST,Europe-Central Asia,Central and Western Europe
Ethiopia,ETH,Africa,East Africa and adjacent islands
Fiji,FJI,Asia-Pacific,Oceania
Finland,FIN,Europe-Central Asia,Central and Western Europe
France,FRA,Europe-Central Asia,Central and Western Europe
French Polynesia,PYF,Asia-Pacific,Oceania
Gabon,GAB,Africa,Central Africa
Gambia,GMB,Africa,West Africa
Georgia,GEO,Europe-Central Asia,Eastern Europe
Germany,DEU,Europe-Central Asia,Central and Western Europe
Ghana,GHA,Africa,West Africa
Greece,GRC,Europe-Central Asia,Central and Western Europe
Grenada,GRD,Americas,Caribbean
Guam,GUM,Asia-Pacific,Oceania
Guatemala,GTM,Americas,Mesoamerica
Guinea,GIN,Africa,West Africa
Guinea Bissau,GNB,Africa,West Africa
Guyana,GUY,Americas,South America
Haiti,HTI,Americas,Caribbean
Honduras,HND,Americas,Mesoamerica
Hungary,HUN,Europe-Central Asia,Central and Western Europe
Iceland,ISL,Europe-Central Asia,Central and Western Europe
India,IND,Asia-Pacific,South Asia
Indonesia,IDN,Asia-Pacific,South-East Asia
Iran (Islamic Republic of),IRN,Asia-Pacific,South Asia
Iraq,IRQ,Asia-Pacific,Western Asia
Ireland,IRL,Europe-Central Asia,Central and Western Europe
Israel,ISR,Europe-Central Asia,Central and Western Europe
Italy,ITA,Europe-Central Asia,Central and Western Europe
Jamaica,JAM,Americas,Caribbean
Japan,JPN,Asia-Pacific,North-East Asia
Jordan,JOR,Asia-Pacific,Western Asia
Kazakhstan,KAZ,Europe-Central Asia,Central Asia
Kenya,KEN,Africa,East Africa and adjacent islands
Kiribati,KIR,Asia-Pacific,Oceania
Kuwait,KWT,Asia-Pacific,Western Asia
Kyrgyzstan,KGZ,Europe-Central Asia,Central Asia
Lao People’s Democratic Republic,LAO,Asia-Pacific,South-East Asia
Latvia,LVA,Europe-Central Asia,Central and Western Europe
Lebanon,LBN,Asia-Pacific,Western Asia
Lesotho,LSO,Africa,Southern Africa
Liberia,LBR,Africa,West Africa
Libya,LBY,Africa,North Africa
Liechtenstein,LIE,Europe-Central Asia,Central and Western Europe
Lithuania,LTU,Europe-Central Asia,Central and Western Europe
Luxembourg,LUX,Europe-Central Asia,Central and Western Europe
Madagascar,MDG,Africa,East Africa and adjacent islands
Malawi,MWI,Africa,Southern Africa
Malaysia,MYS,Asia-Pacific,South-East Asia
Maldives,MDV,Asia-Pacific,South Asia
Mali,MLI,Africa,West Africa
Malta,MLT,Europe-Central Asia,Central and Western Europe
Marshall Islands,MHL,Asia-Pacific,Oceania
Mauritania,MRT,Africa,North Africa
Mauritius,MUS,Africa,East Africa and adjacent islands
Mayotte,MYT,Africa,East Africa and adjacent islands
Mexico,MEX,Americas,Mesoamerica
Micronesia (Federated States of),FSM,Asia-Pacific,Oceania
Republic of Moldova,MDA,Europe-Central Asia,Eastern Europe
Monaco,MCO,Europe-Central Asia,Central and Western Europe
Mongolia,MNG,Asia-Pacific,North-East Asia
Montenegro,MNE,Europe-Central Asia,Central and Western Europe
Morocco,MAR,Africa,North Africa
Mozambique,MOZ,Africa,Southern Africa
Myanmar,MMR,Asia-Pacific,South-East Asia
Namibia,NAM,Africa,Southern Africa
Nauru,NRU,Asia-Pacific,Oceania
Nepal,NPL,Asia-Pacific,South Asia
Netherlands,NLD,Europe-Central Asia,Central and Western Europe
New Caledonia,NCL,Asia-Pacific,Oceania
New Zealand,NZL,Asia-Pacific,Oceania
Nicaragua,NIC,Americas,Mesoamerica
Niger,NER,Africa,West Africa
Nigeria,NGA,Africa,West Africa
Niue,NIU,Asia-Pacific,Oceania
Commonwealth of the Northern Mariana Islands,MNP,Asia-Pacific,Oceania
Norway,NOR,Europe-Central Asia,Central and Western Europe
State of Palestine,PSE,Asia-Pacific,Western Asia
Oman,OMN,Asia-Pacific,Western Asia
Pakistan,PAK,Asia-Pacific,South Asia
Palau,PLW,Asia-Pacific,Oceania
Panama,PAN,Americas,Mesoamerica
Papua New Guinea,PNG,Asia-Pacific,Oceania
Paraguay,PRY,Americas,South America
Peru,PER,Americas,South America
Philippines,PHL,Asia-Pacific,South-East Asia
Pitcairn Island,PCN,Asia-Pacific,Oceania
Poland,POL,Europe-Central Asia,Central and Western Europe
Portugal,PRT,Europe-Central Asia,Central and Western Europe
Qatar,QAT,Asia-Pacific,Western Asia
Republic of Korea,KOR,Asia-Pacific,North-East Asia
Reunion,REU,Africa,East Africa and adjacent islands
Romania,ROU,Europe-Central Asia,Central and Western Europe
Russian Federation,RUS,Europe-Central Asia,Eastern Europe
Rwanda,RWA,Africa,East Africa and adjacent islands
Saint Kitts and Nevis,KNA,Americas,Caribbean
Saint Lucia,LCA,Americas,Caribbean
Saint Vincent and the Grenadines,VCT,Americas,Caribbean
Samoa,WSM,Asia-Pacific,Oceania
San Marino,SMR,Europe-Central Asia,Central and Western Europe
Sao Tome and Principe,STP,Africa,Central Africa
Saudi Arabia,SAU,Asia-Pacific,Western Asia
Senegal,SEN,Africa,West Africa
Serbia,SRB,Europe-Central Asia,Central and Western Europe
Seychelles,SYC,Africa,East Africa and adjacent islands
Sierra Leone,SLE,Africa,West Africa
Singapore,SGP,Asia-Pacific,South-East Asia
Slovakia,SVK,Europe-Central Asia,Central and Western Europe
Slovenia,SVN,Europe-Central Asia,Central and Western Europe
Solomon Islands,SLB,Asia-Pacific,Oceania
Somalia,SOM,Africa,East Africa and adjacent islands
South Africa,ZAF,Africa,Southern Africa
Spain,ESP,Europe-Central Asia,Central and Western Europe
Sri Lanka,LKA,Asia-Pacific,South Asia
Sudan,SDN,Africa,North Africa
Suriname,SUR,Americas,South America
Swaziland,SWZ,Africa,Southern Africa
Sweden,SWE,Europe-Central Asia,Central and Western Europe
Switzerland,CHE,Europe-Central Asia,Central and Western Europe
Syrian Arab Republic,SYR,Asia-Pacific,Western Asia
Tajikistan,TJK,Europe-Central Asia,Central Asia
Thailand,THA,Asia-Pacific,South-East Asia
The former Yugoslav Republic of Macedonia,MKD,Europe-Central Asia,Central and Western Europe
Timor-Leste,TLS,Asia-Pacific,South-East Asia
Togo,TGO,Africa,West Africa
Tokelau,TKL,Asia-Pacific,Oceania
Tonga,TON,Asia-Pacific,Oceania
Trinidad and Tobago,TTO,Americas,Caribbean
Tunisia,TUN,Africa,North Africa
Turkey,TUR,Europe-Central Asia,Central and Western Europe
Turkmenistan,TKM,Europe-Central Asia,Central Asia
Tuvalu,TUV,Asia-Pacific,Oceania
Uganda,UGA,Africa,East Africa and adjacent islands
Ukraine,UKR,Europe-Central Asia,Eastern Europe
United Arab Emirates,ARE,Asia-Pacific,Western Asia
United Kingdom of Great Britain and Northern Ireland,GBR,Europe-Central Asia,Central and Western Europe
United Republic of Tanzania,TZA,Africa,East Africa and adjacent islands
United States of America,USA,Americas,North America
Uruguay,URY,Americas,South America
Uzbekistan,UZB,Europe-Central Asia,Central Asia
Vanuatu,VUT,Asia-Pacific,Oceania
Venezuela (Bolivarian Republic of),VEN,Americas,South America
Viet Nam,VNM,Asia-Pacific,South-East Asia
Wallis and Futuna,WLF,Asia-Pacific,Oceania
Western Sahara,ESH,Africa,North Africa
Yemen,YEM,Asia-Pacific,Western Asia
Zambia,ZMB,Africa,Southern Africa
Zimbabwe,ZWE,Africa,Southern Africa
